Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Devout Decree,FDN,Foundations,571,normal,uncommon,1,101162,d174cb01-b1cf-444c-a893-cc61ddf88b8c,0.13,false,false,near_mint,en,USD
Make Your Move,FDN,Foundations,143,normal,common,1,101546,7368f861-3288-4645-90a7-ca35d6da3721,0.1,false,false,near_mint,en,USD
Stasis Snare,FDN,Foundations,581,normal,uncommon,2,101147,ce41e348-44c2-47f8-8e7d-da2e4d16d648,0.11,false,false,near_mint,en,USD
Joust Through,FDN,Foundations,19,normal,uncommon,1,100767,846adb38-f9bb-4fed-b8ed-36ec7885f989,0.1,false,false,near_mint,en,USD
Felidar Retreat,FDN,Foundations,574,normal,rare,1,100801,89e3cc09-5057-4c05-88fc-d6cda809fc74,1.55,false,false,near_mint,en,USD
Storm Herd,SCD,Starter Commander Decks,36,normal,rare,1,77528,cd96606b-b6f5-4caf-81c4-1676a1090ae4,0.37,false,false,near_mint,en,USD
Remorseful Cleric,SCD,Starter Commander Decks,31,normal,rare,1,77431,9058aa42-96bb-4a8e-a2b9-a1a0905de99e,0.16,false,false,near_mint,en,USD
Cartographer's Hawk,SCD,Starter Commander Decks,10,normal,rare,1,77512,c72102e8-3bcf-4164-a41a-43e3cf1b4b72,0.19,false,false,near_mint,en,USD
Diluvian Primordial,SCD,Starter Commander Decks,47,normal,rare,1,77352,5a12f12c-90d0-4abe-afaa-44f9cdda5648,0.29,false,false,near_mint,en,USD
Sphinx of the Final Word,FDN,Foundations,597,normal,mythic,1,100923,a2cf2366-40d0-4f94-84a5-8aa42308e223,0.29,false,false,near_mint,en,USD
Think Twice,FDN,Foundations,165,normal,common,2,101202,d88faaa1-eb41-40f7-991c-5c06e1138f3d,0.06,false,false,near_mint,en,USD
Unsummon,FDN,Foundations,599,normal,common,1,101013,b378d319-ab98-422a-8f72-121a9d26f5c6,0.24,false,false,near_mint,en,USD
